Age,Gender ,"How many hours per day do you study on average?  (Include self-study, assignments, and revision. Enter a decimal if needed, e.g., 2.5)",What is your approximate class attendance percentage this semester? ,What is your CGPA? * ,What was your last semester's SGPA? (Enter your most recent semester GPA),"How many hours per day do you spend on social media? (Include Instagram, TikTok, Twitter/X, YouTube Shorts, etc.)",How many hours of sleep do you get per night on average? ,How would you describe your diet quality? ,"How many days per week do you exercise or do physical activity?  (Include gym, sports, walking, cricket, football, etc.)","Which societies or clubs are you a member of at GIKI? (Write N/A if none. Examples: GIKI ACM, IEEE, GIKI Literary Society, Sports Board, GIKI Debate Club)"
18,Female,3.8,66,3.32,3.3,0.7,7.8,Average (Mix of healthy and unhealthy),3-4 days,LES
21,Male,5.3,43,2.77,2.72,0.5,4.2,"Good (Mostly balanced, some fast food/unhealthy snacks)",5-6 days,
20,Male,7.1,69,3.17,3.22,8.1,6.4,"Good (Mostly balanced, some fast food/unhealthy snacks)",3-4 days,IEEE
18,Male,1.8,38,2.61,2.56,2.7,5.5,Average (Mix of healthy and unhealthy),1-2 days,
20,Male,0.9,15,2.77,2.72,2.1,6.7,Average (Mix of healthy and unhealthy),1-2 days,ACM
20,Male,0.9,79,2.66,2.74,1.0,7.1,"Good (Mostly balanced, some fast food/unhealthy snacks)",1-2 days,"IEEE, ACM"
21,Male,0.5,66,2.65,2.62,4.3,6.2,"Good (Mostly balanced, some fast food/unhealthy snacks)",1-2 days,
20,Male,0.7,79,2.41,2.3,3.9,4.4,"Poor (Mostly processed foods, soft drinks, limited vegetables)",1-2 days,
20,Male,1.9,52,3.24,3.17,0.6,4.8,"Good (Mostly balanced, some fast food/unhealthy snacks)",0 days,
19,Male,0.5,72,3.03,3.06,0.9,7.4,Average (Mix of healthy and unhealthy),3-4 days,AIAA
20,Male,1.2,66,2.89,3,3.1,6.3,"Good (Mostly balanced, some fast food/unhealthy snacks)",3-4 days,AIAA
20,Male,0.6,49,2.78,2.72,2.8,7.5,"Good (Mostly balanced, some fast food/unhealthy snacks)",1-2 days,"IEEE, ACM"
20,Male,1.9,39,2.58,2.68,0.5,5.5,"Poor (Mostly processed foods, soft drinks, limited vegetables)",5-6 days,LES
20,Male,0.7,40,3.03,3.01,1.2,7.5,Average (Mix of healthy and unhealthy),1-2 days,IEEE
23,Male,6.9,61,2.95,3.02,5.5,8.6,Average (Mix of healthy and unhealthy),1-2 days,LES
20,Male,3.0,15,2.96,2.94,0.7,5.9,"Good (Mostly balanced, some fast food/unhealthy snacks)",1-2 days,
20,Male,1.6,70,2.75,2.8,4.7,9.0,"Poor (Mostly processed foods, soft drinks, limited vegetables)",3-4 days,"IEEE, ACM"
19,Female,2.0,69,2.96,3.01,4.7,9.0,Very Poor (Highly reliant on junk food and caffeine),5-6 days,ACM
20,Male,7.4,41,2.92,2.92,1.4,7.1,Average (Mix of healthy and unhealthy),3-4 days,AIAA
18,Male,2.7,37,2.39,2.44,13.7,5.6,"Poor (Mostly processed foods, soft drinks, limited vegetables)",3-4 days,"IEEE, ACM"
22,Female,6.1,80,3.1,2.99,5.8,4.4,Average (Mix of healthy and unhealthy),3-4 days,
19,Male,2.8,67,3.0,3.12,0.5,6.3,Average (Mix of healthy and unhealthy),1-2 days,
22,Male,4.3,85,3.18,3.26,6.6,6.1,"Good (Mostly balanced, some fast food/unhealthy snacks)",3-4 days,
21,Male,1.9,67,3.09,3.13,1.6,6.2,Average (Mix of healthy and unhealthy),0 days,
19,Male,1.7,76,2.86,2.85,3.6,5.7,"Good (Mostly balanced, some fast food/unhealthy snacks)",7 days,
21,Male,6.1,57,3.39,3.38,2.4,8.5,"Poor (Mostly processed foods, soft drinks, limited vegetables)",1-2 days,
18,Male,1.1,81,2.69,2.76,6.9,8.7,Average (Mix of healthy and unhealthy),1-2 days,ACM
21,Male,6.0,51,2.81,2.83,8.4,6.3,"Good (Mostly balanced, some fast food/unhealthy snacks)",1-2 days,LES
20,Male,0.9,41,2.28,2.24,9.9,5.6,"Excellent (Well-balanced, fresh food)",1-2 days,IEEE
21,Male,3.6,76,3.02,3.05,3.8,9.7,"Poor (Mostly processed foods, soft drinks, limited vegetables)",3-4 days,AIAA
21,Male,2.4,100,3.13,3.09,0.5,8.3,"Excellent (Well-balanced, fresh food)",0 days,"IEEE, ACM"
20,Prefer not to say,1.0,43,2.48,2.44,4.7,5.4,Average (Mix of healthy and unhealthy),1-2 days,LES
20,Female,8.1,48,3.02,3.05,2.9,7.3,"Poor (Mostly processed foods, soft drinks, limited vegetables)",1-2 days,ACM
18,Male,1.9,100,3.13,3.22,3.4,6.1,"Good (Mostly balanced, some fast food/unhealthy snacks)",5-6 days,IEEE
19,Male,3.0,76,3.21,3.31,0.5,7.4,Average (Mix of healthy and unhealthy),1-2 days,IEEE
19,Male,6.6,59,3.2,3.27,7.6,5.8,Average (Mix of healthy and unhealthy),3-4 days,
21,Male,4.0,93,3.68,3.72,5.5,8.0,"Excellent (Well-balanced, fresh food)",3-4 days,LES
22,Male,1.7,53,3.18,3.17,0.5,5.3,"Good (Mostly balanced, some fast food/unhealthy snacks)",5-6 days,LES
18,Male,10.0,39,3.68,3.67,0.6,7.6,Average (Mix of healthy and unhealthy),1-2 days,IEEE
21,Female,0.6,62,2.72,2.69,5.7,6.2,Average (Mix of healthy and unhealthy),3-4 days,
19,Male,0.5,15,2.0,2,0.5,7.1,Average (Mix of healthy and unhealthy),3-4 days,
18,Male,2.9,55,2.66,2.57,1.0,6.2,Very Poor (Highly reliant on junk food and caffeine),1-2 days,
20,Male,1.6,52,2.54,2.49,5.2,6.0,"Good (Mostly balanced, some fast food/unhealthy snacks)",1-2 days,IEEE
18,Male,0.5,59,2.58,2.61,2.8,5.3,"Good (Mostly balanced, some fast food/unhealthy snacks)",3-4 days,LES
21,Male,4.0,39,2.59,2.54,7.6,4.3,Average (Mix of healthy and unhealthy),1-2 days,"IEEE, ACM"
20,Male,0.5,40,2.17,2.18,10.0,8.4,"Good (Mostly balanced, some fast food/unhealthy snacks)",5-6 days,
20,Male,0.5,100,3.31,3.36,2.8,5.9,"Good (Mostly balanced, some fast food/unhealthy snacks)",7 days,
20,Male,4.6,53,2.74,2.57,6.0,6.1,"Excellent (Well-balanced, fresh food)",1-2 days,LES
19,Male,3.3,50,2.6,2.64,8.9,5.6,Average (Mix of healthy and unhealthy),3-4 days,
19,Male,7.8,49,3.07,3.07,3.6,5.7,"Poor (Mostly processed foods, soft drinks, limited vegetables)",7 days,IEEE
20,Female,3.3,100,2.93,2.89,0.7,6.6,"Poor (Mostly processed foods, soft drinks, limited vegetables)",3-4 days,"IEEE, ACM"
22,Male,0.5,67,2.55,2.48,2.5,7.2,Average (Mix of healthy and unhealthy),7 days,LES
21,Male,0.5,69,3.19,3.18,1.5,7.6,"Good (Mostly balanced, some fast food/unhealthy snacks)",1-2 days,IEEE
22,Female,3.0,25,2.71,2.75,1.3,5.7,Average (Mix of healthy and unhealthy),1-2 days,ACM
20,Prefer not to say,1.3,83,2.7,2.77,5.3,5.3,Average (Mix of healthy and unhealthy),3-4 days,AIAA
21,Male,0.5,96,2.55,2.54,9.6,5.7,Average (Mix of healthy and unhealthy),3-4 days,
19,Female,2.1,19,2.29,2.28,8.5,9.6,"Poor (Mostly processed foods, soft drinks, limited vegetables)",5-6 days,"IEEE, ACM"
21,Male,0.6,64,2.92,2.96,1.3,7.4,"Poor (Mostly processed foods, soft drinks, limited vegetables)",5-6 days,"IEEE, ACM"
21,Female,1.8,42,2.74,2.79,3.5,8.3,Average (Mix of healthy and unhealthy),5-6 days,
21,Male,1.2,58,2.55,2.63,2.4,6.1,Very Poor (Highly reliant on junk food and caffeine),1-2 days,
20,Male,0.5,70,2.39,2.49,12.4,6.6,"Good (Mostly balanced, some fast food/unhealthy snacks)",1-2 days,
18,Male,1.3,37,2.4,2.41,5.4,5.7,Average (Mix of healthy and unhealthy),1-2 days,
19,Male,0.5,78,3.06,2.96,1.2,7.3,"Poor (Mostly processed foods, soft drinks, limited vegetables)",5-6 days,
21,Male,4.7,57,2.94,2.86,0.5,9.3,"Poor (Mostly processed foods, soft drinks, limited vegetables)",1-2 days,
19,Male,4.4,62,2.94,2.97,1.1,5.0,"Poor (Mostly processed foods, soft drinks, limited vegetables)",5-6 days,"IEEE, ACM"
20,Female,0.6,55,2.56,2.57,1.2,4.4,Average (Mix of healthy and unhealthy),1-2 days,
18,Male,3.7,45,2.72,2.73,5.8,6.4,Average (Mix of healthy and unhealthy),1-2 days,"IEEE, ACM"
19,Male,0.5,64,2.69,2.68,2.2,7.1,Average (Mix of healthy and unhealthy),3-4 days,
22,Male,1.0,97,2.95,2.98,1.6,5.4,"Good (Mostly balanced, some fast food/unhealthy snacks)",1-2 days,"IEEE, ACM"
18,Male,4.4,36,3.08,3.06,5.5,8.4,Average (Mix of healthy and unhealthy),1-2 days,ACM
19,Male,0.5,74,2.68,2.73,0.9,8.0,Average (Mix of healthy and unhealthy),1-2 days,
21,Male,7.2,78,3.32,3.21,1.6,6.1,Average (Mix of healthy and unhealthy),1-2 days,
18,Male,4.1,25,3.04,3.11,0.9,6.9,"Poor (Mostly processed foods, soft drinks, limited vegetables)",5-6 days,AIAA
20,Prefer not to say,0.5,24,2.33,2.39,5.5,6.9,Average (Mix of healthy and unhealthy),0 days,"IEEE, ACM"
20,Male,5.1,58,3.21,3.16,2.6,6.8,"Good (Mostly balanced, some fast food/unhealthy snacks)",3-4 days,"IEEE, ACM"
23,Male,1.7,49,2.67,2.72,5.9,6.8,Very Poor (Highly reliant on junk food and caffeine),5-6 days,
19,Male,1.0,55,2.29,2.45,12.3,6.6,"Good (Mostly balanced, some fast food/unhealthy snacks)",1-2 days,"IEEE, ACM"
21,Male,2.1,55,2.75,2.7,8.2,7.3,"Poor (Mostly processed foods, soft drinks, limited vegetables)",7 days,"IEEE, ACM"
23,Male,3.7,53,2.9,2.91,4.3,5.3,"Poor (Mostly processed foods, soft drinks, limited vegetables)",0 days,
20,Male,2.9,82,3.25,3.25,1.1,7.6,"Poor (Mostly processed foods, soft drinks, limited vegetables)",3-4 days,
22,Male,1.3,70,3.0,3,3.7,7.6,Average (Mix of healthy and unhealthy),5-6 days,
19,Female,2.2,72,3.07,3.07,2.7,5.7,Average (Mix of healthy and unhealthy),3-4 days,
21,Male,6.7,58,3.4,3.42,0.8,6.3,"Good (Mostly balanced, some fast food/unhealthy snacks)",1-2 days,LES
20,Male,0.5,72,2.56,2.7,0.5,4.5,Average (Mix of healthy and unhealthy),1-2 days,
21,Male,0.5,51,2.42,2.47,7.9,8.4,Average (Mix of healthy and unhealthy),0 days,IEEE
22,Male,0.7,59,2.82,2.76,4.8,7.9,"Excellent (Well-balanced, fresh food)",1-2 days,"IEEE, ACM"
20,Male,10.0,58,3.75,3.72,3.6,5.7,"Good (Mostly balanced, some fast food/unhealthy snacks)",5-6 days,"IEEE, ACM"
20,Male,1.7,50,2.48,2.42,6.6,9.5,Average (Mix of healthy and unhealthy),5-6 days,
19,Male,2.0,37,2.83,2.76,4.8,6.4,Average (Mix of healthy and unhealthy),0 days,AIAA
19,Male,3.1,37,3.0,2.91,2.4,7.9,"Good (Mostly balanced, some fast food/unhealthy snacks)",1-2 days,
22,Male,3.4,46,2.65,2.65,1.7,6.7,Average (Mix of healthy and unhealthy),0 days,
20,Male,2.4,79,2.89,2.83,3.7,9.0,Average (Mix of healthy and unhealthy),1-2 days,LES
19,Male,0.5,24,2.56,2.45,3.2,7.1,Average (Mix of healthy and unhealthy),1-2 days,
18,Male,2.0,43,2.98,3.06,1.3,5.4,"Good (Mostly balanced, some fast food/unhealthy snacks)",1-2 days,AIAA
21,Male,0.6,60,2.45,2.58,3.1,7.1,Average (Mix of healthy and unhealthy),5-6 days,"IEEE, ACM"
23,Female,6.1,71,3.18,3.11,2.3,4.2,"Good (Mostly balanced, some fast food/unhealthy snacks)",1-2 days,
20,Male,3.0,60,3.06,3.12,4.1,5.5,Average (Mix of healthy and unhealthy),0 days,
22,Prefer not to say,5.5,29,2.71,2.82,4.0,9.4,Average (Mix of healthy and unhealthy),7 days,
20,Male,2.2,37,2.77,2.87,0.6,8.1,Average (Mix of healthy and unhealthy),1-2 days,
20,Prefer not to say,2.0,24,2.1,2.21,1.4,5.2,Very Poor (Highly reliant on junk food and caffeine),0 days,
20,Male,1.9,51,2.65,2.65,5.3,6.2,"Poor (Mostly processed foods, soft drinks, limited vegetables)",1-2 days,LES
19,Male,3.5,73,3.19,3.23,2.4,5.5,"Excellent (Well-balanced, fresh food)",3-4 days,
21,Male,5.8,54,2.94,3.07,3.4,7.1,"Good (Mostly balanced, some fast food/unhealthy snacks)",3-4 days,
19,Male,4.7,49,2.77,2.76,3.5,6.9,Average (Mix of healthy and unhealthy),0 days,AIAA
20,Male,0.5,43,2.41,2.42,0.5,4.3,"Poor (Mostly processed foods, soft drinks, limited vegetables)",7 days,ACM
23,Male,1.5,29,2.78,2.68,0.7,6.5,"Poor (Mostly processed foods, soft drinks, limited vegetables)",5-6 days,"IEEE, ACM"
20,Prefer not to say,1.2,68,3.11,3.04,0.5,7.4,"Good (Mostly balanced, some fast food/unhealthy snacks)",5-6 days,AIAA
19,Male,0.6,60,2.65,2.57,0.9,6.2,"Excellent (Well-balanced, fresh food)",0 days,LES
20,Male,4.1,52,3.36,3.39,3.6,8.6,"Excellent (Well-balanced, fresh food)",1-2 days,IEEE
20,Male,6.2,23,2.78,2.78,3.1,5.5,Very Poor (Highly reliant on junk food and caffeine),7 days,
20,Male,10.0,51,3.25,3.31,1.3,5.5,Average (Mix of healthy and unhealthy),3-4 days,
21,Male,4.9,36,3.11,3.2,3.2,5.8,Average (Mix of healthy and unhealthy),1-2 days,
20,Male,2.1,43,2.01,2,13.2,6.6,Average (Mix of healthy and unhealthy),1-2 days,ACM
20,Male,0.8,18,2.43,2.46,0.5,8.0,Average (Mix of healthy and unhealthy),1-2 days,
20,Male,1.7,15,2.7,2.46,0.9,5.6,Average (Mix of healthy and unhealthy),1-2 days,
23,Male,1.7,58,3.04,3.07,0.5,6.8,Average (Mix of healthy and unhealthy),1-2 days,
20,Female,1.7,45,2.71,2.72,2.5,4.4,"Excellent (Well-balanced, fresh food)",0 days,IEEE
21,Male,7.4,54,2.98,2.91,6.8,5.1,Very Poor (Highly reliant on junk food and caffeine),1-2 days,LES
18,Female,8.4,54,3.34,3.32,0.5,4.2,Average (Mix of healthy and unhealthy),3-4 days,ACM
22,Female,10.0,66,3.44,3.36,6.3,5.1,Average (Mix of healthy and unhealthy),1-2 days,
21,Male,0.5,77,2.69,2.61,2.8,7.0,Average (Mix of healthy and unhealthy),0 days,AIAA
20,Male,0.5,81,2.84,2.91,1.3,7.2,"Good (Mostly balanced, some fast food/unhealthy snacks)",5-6 days,AIAA
19,Male,0.9,66,2.83,2.71,4.3,3.7,Average (Mix of healthy and unhealthy),5-6 days,AIAA
18,Prefer not to say,0.7,62,2.78,2.72,2.6,5.2,"Good (Mostly balanced, some fast food/unhealthy snacks)",7 days,
20,Male,3.3,32,2.37,2.37,8.9,5.7,Very Poor (Highly reliant on junk food and caffeine),1-2 days,IEEE
21,Female,2.8,42,2.55,2.59,3.1,5.3,Average (Mix of healthy and unhealthy),3-4 days,
18,Prefer not to say,4.3,100,3.27,3.22,1.0,7.7,"Poor (Mostly processed foods, soft drinks, limited vegetables)",1-2 days,"IEEE, ACM"
20,Male,2.8,71,3.18,3.23,2.1,7.5,"Excellent (Well-balanced, fresh food)",1-2 days,ACM
20,Male,2.9,44,2.99,2.97,1.8,6.4,Average (Mix of healthy and unhealthy),3-4 days,
21,Female,3.7,78,2.73,2.87,4.6,5.5,"Poor (Mostly processed foods, soft drinks, limited vegetables)",0 days,AIAA
21,Male,1.9,44,2.54,2.6,5.5,4.5,Very Poor (Highly reliant on junk food and caffeine),1-2 days,LES
20,Male,0.5,57,2.86,2.84,8.5,7.8,Average (Mix of healthy and unhealthy),7 days,AIAA
22,Male,3.2,28,2.6,2.61,0.9,6.8,"Good (Mostly balanced, some fast food/unhealthy snacks)",7 days,
19,Male,3.5,51,2.98,2.82,5.1,5.7,"Good (Mostly balanced, some fast food/unhealthy snacks)",1-2 days,
19,Female,0.5,68,2.47,2.37,8.1,6.1,"Good (Mostly balanced, some fast food/unhealthy snacks)",5-6 days,
19,Male,10.0,60,3.12,3.08,7.6,7.3,Average (Mix of healthy and unhealthy),1-2 days,IEEE
20,Female,0.5,48,2.7,2.73,5.8,5.2,Average (Mix of healthy and unhealthy),0 days,IEEE
19,Prefer not to say,1.8,43,2.0,2,13.7,5.8,"Poor (Mostly processed foods, soft drinks, limited vegetables)",1-2 days,
20,Male,0.5,70,2.93,2.75,0.5,8.6,"Excellent (Well-balanced, fresh food)",1-2 days,"IEEE, ACM"
19,Male,3.8,47,2.82,2.83,0.5,5.9,Average (Mix of healthy and unhealthy),1-2 days,
23,Male,1.7,41,2.29,2.28,5.5,7.7,"Good (Mostly balanced, some fast food/unhealthy snacks)",1-2 days,IEEE
22,Male,10.0,28,3.34,3.37,1.4,6.8,"Good (Mostly balanced, some fast food/unhealthy snacks)",3-4 days,
21,Male,0.6,76,2.13,2.08,14.0,5.0,"Good (Mostly balanced, some fast food/unhealthy snacks)",3-4 days,
20,Male,9.4,25,3.39,3.35,3.9,8.7,"Good (Mostly balanced, some fast food/unhealthy snacks)",7 days,"IEEE, ACM"
22,Female,4.8,100,3.51,3.57,5.2,5.7,Average (Mix of healthy and unhealthy),0 days,AIAA
21,Male,0.6,53,2.78,2.87,3.4,6.8,"Good (Mostly balanced, some fast food/unhealthy snacks)",3-4 days,LES
19,Male,1.7,68,2.69,2.74,6.4,6.9,"Poor (Mostly processed foods, soft drinks, limited vegetables)",1-2 days,ACM
20,Male,0.8,28,2.57,2.62,4.0,6.6,Average (Mix of healthy and unhealthy),1-2 days,
20,Male,6.4,48,2.85,2.82,0.7,4.6,Very Poor (Highly reliant on junk food and caffeine),5-6 days,IEEE
20,Male,0.5,72,2.65,2.82,0.5,5.2,"Good (Mostly balanced, some fast food/unhealthy snacks)",1-2 days,AIAA
20,Female,0.5,67,2.67,2.76,0.5,4.2,Average (Mix of healthy and unhealthy),3-4 days,LES
20,Male,0.5,100,2.6,2.6,6.8,6.4,Average (Mix of healthy and unhealthy),1-2 days,LES
19,Male,0.5,59,2.77,2.9,0.5,8.2,"Good (Mostly balanced, some fast food/unhealthy snacks)",3-4 days,
18,Male,10.0,15,3.32,3.31,3.2,5.3,Average (Mix of healthy and unhealthy),3-4 days,"IEEE, ACM"
22,Male,0.5,54,2.49,2.49,4.2,6.5,"Good (Mostly balanced, some fast food/unhealthy snacks)",5-6 days,LES
18,Female,0.9,61,2.68,2.76,4.6,5.1,Average (Mix of healthy and unhealthy),1-2 days,"IEEE, ACM"
20,Female,5.3,20,3.16,3.11,2.7,5.8,Average (Mix of healthy and unhealthy),1-2 days,
21,Male,2.6,94,3.32,3.3,4.2,8.2,"Excellent (Well-balanced, fresh food)",5-6 days,ACM
19,Male,3.4,71,3.01,2.96,1.3,8.0,"Good (Mostly balanced, some fast food/unhealthy snacks)",1-2 days,"IEEE, ACM"
19,Male,4.3,79,2.45,2.5,6.4,9.1,Very Poor (Highly reliant on junk food and caffeine),1-2 days,
22,Male,8.8,99,3.59,3.57,1.6,7.1,"Poor (Mostly processed foods, soft drinks, limited vegetables)",0 days,
21,Male,0.5,97,2.24,2.37,14.0,6.7,"Good (Mostly balanced, some fast food/unhealthy snacks)",1-2 days,ACM
22,Male,10.0,40,2.9,3.03,0.5,5.7,Very Poor (Highly reliant on junk food and caffeine),1-2 days,LES
20,Male,0.5,86,2.74,2.79,1.2,5.3,Average (Mix of healthy and unhealthy),1-2 days,"IEEE, ACM"
21,Male,0.5,53,2.35,2.35,5.0,3.0,"Poor (Mostly processed foods, soft drinks, limited vegetables)",1-2 days,
19,Male,0.7,73,2.59,2.61,8.3,6.3,Average (Mix of healthy and unhealthy),5-6 days,ACM
19,Prefer not to say,6.4,15,3.24,3.3,0.7,8.4,"Poor (Mostly processed foods, soft drinks, limited vegetables)",5-6 days,
20,Male,1.0,37,2.31,2.3,9.1,5.7,Average (Mix of healthy and unhealthy),1-2 days,
22,Male,5.0,48,2.84,2.84,2.1,5.3,"Good (Mostly balanced, some fast food/unhealthy snacks)",7 days,
19,Male,1.0,97,2.35,2.31,8.4,8.7,Very Poor (Highly reliant on junk food and caffeine),0 days,ACM
19,Male,3.6,96,3.24,3.12,2.5,6.3,"Poor (Mostly processed foods, soft drinks, limited vegetables)",3-4 days,AIAA
22,Female,5.2,49,2.71,2.68,4.0,8.1,Average (Mix of healthy and unhealthy),5-6 days,ACM
22,Female,5.8,35,2.98,2.89,12.9,9.1,"Excellent (Well-balanced, fresh food)",1-2 days,"IEEE, ACM"
21,Male,3.6,98,2.82,2.92,14.0,5.7,Average (Mix of healthy and unhealthy),5-6 days,"IEEE, ACM"
20,Female,1.4,40,2.07,2,14.0,5.9,Average (Mix of healthy and unhealthy),1-2 days,
21,Male,0.5,86,2.64,2.45,4.5,6.6,"Good (Mostly balanced, some fast food/unhealthy snacks)",3-4 days,"IEEE, ACM"
21,Female,0.5,62,2.5,2.43,12.9,6.8,Average (Mix of healthy and unhealthy),1-2 days,AIAA
21,Male,6.4,54,2.98,3.08,3.7,5.4,"Good (Mostly balanced, some fast food/unhealthy snacks)",3-4 days,LES
22,Male,0.5,80,2.76,2.66,2.4,5.8,Average (Mix of healthy and unhealthy),1-2 days,
19,Male,1.0,24,2.55,2.55,0.5,6.7,Average (Mix of healthy and unhealthy),7 days,
23,Male,2.1,100,2.32,2.21,14.0,6.3,Very Poor (Highly reliant on junk food and caffeine),1-2 days,
21,Male,4.2,55,2.97,3.01,0.5,7.0,Average (Mix of healthy and unhealthy),3-4 days,IEEE
19,Male,3.4,45,2.87,2.82,1.8,5.3,"Good (Mostly balanced, some fast food/unhealthy snacks)",5-6 days,
19,Male,1.2,65,2.8,2.7,7.5,7.6,"Excellent (Well-balanced, fresh food)",1-2 days,
19,Male,1.0,98,3.05,2.94,4.1,6.9,"Excellent (Well-balanced, fresh food)",5-6 days,
19,Male,2.8,79,2.66,2.6,1.2,6.7,Very Poor (Highly reliant on junk food and caffeine),1-2 days,
21,Female,0.9,80,3.02,2.99,0.5,7.6,"Good (Mostly balanced, some fast food/unhealthy snacks)",1-2 days,ACM
20,Male,1.2,87,2.95,2.96,4.9,7.8,Average (Mix of healthy and unhealthy),1-2 days,
20,Female,1.6,64,2.56,2.57,11.7,6.2,"Poor (Mostly processed foods, soft drinks, limited vegetables)",1-2 days,AIAA
20,Male,3.1,46,2.47,2.38,1.3,3.7,Average (Mix of healthy and unhealthy),1-2 days,
18,Male,2.1,59,2.44,2.47,5.2,4.1,"Poor (Mostly processed foods, soft drinks, limited vegetables)",0 days,
22,Male,1.4,27,2.44,2.56,4.3,7.5,Average (Mix of healthy and unhealthy),1-2 days,
18,Female,4.2,70,2.89,2.83,6.8,5.8,"Poor (Mostly processed foods, soft drinks, limited vegetables)",0 days,
21,Male,0.8,85,2.72,2.73,3.9,4.4,"Excellent (Well-balanced, fresh food)",5-6 days,ACM
21,Male,5.9,43,2.95,2.76,2.0,7.7,"Good (Mostly balanced, some fast food/unhealthy snacks)",3-4 days,AIAA
21,Male,2.9,60,3.28,3.12,1.0,8.8,Very Poor (Highly reliant on junk food and caffeine),3-4 days,LES
20,Female,1.7,100,2.96,2.9,0.7,7.4,Average (Mix of healthy and unhealthy),7 days,
21,Male,2.2,44,3.16,3.16,2.5,5.6,"Good (Mostly balanced, some fast food/unhealthy snacks)",3-4 days,
20,Male,0.5,45,2.7,2.77,4.1,7.9,"Poor (Mostly processed foods, soft drinks, limited vegetables)",3-4 days,"IEEE, ACM"
20,Male,1.3,69,2.53,2.48,2.3,4.9,Average (Mix of healthy and unhealthy),0 days,AIAA
18,Male,3.1,43,2.55,2.63,0.5,5.5,Very Poor (Highly reliant on junk food and caffeine),3-4 days,AIAA
19,Prefer not to say,0.5,28,2.7,2.77,0.5,5.9,"Good (Mostly balanced, some fast food/unhealthy snacks)",1-2 days,AIAA
20,Male,1.0,59,2.59,2.53,8.0,7.0,"Good (Mostly balanced, some fast food/unhealthy snacks)",1-2 days,
21,Female,2.1,58,2.82,2.81,4.8,6.9,"Good (Mostly balanced, some fast food/unhealthy snacks)",5-6 days,AIAA
22,Female,1.7,76,2.81,2.91,13.2,5.9,Average (Mix of healthy and unhealthy),5-6 days,IEEE
20,Male,0.5,72,3.05,3.06,4.0,5.9,"Good (Mostly balanced, some fast food/unhealthy snacks)",0 days,
19,Male,1.8,82,2.86,2.89,1.6,6.6,Average (Mix of healthy and unhealthy),1-2 days,IEEE
20,Male,0.9,87,2.92,2.92,0.7,6.1,"Poor (Mostly processed foods, soft drinks, limited vegetables)",3-4 days,AIAA
19,Male,4.1,71,2.82,2.84,9.6,4.6,"Good (Mostly balanced, some fast food/unhealthy snacks)",1-2 days,
18,Male,0.5,82,2.5,2.65,0.5,6.1,Very Poor (Highly reliant on junk food and caffeine),7 days,"IEEE, ACM"
21,Male,6.8,84,2.84,2.82,6.4,5.5,Average (Mix of healthy and unhealthy),3-4 days,
20,Male,0.5,58,2.67,2.73,0.5,6.2,"Poor (Mostly processed foods, soft drinks, limited vegetables)",0 days,
19,Male,3.0,46,2.18,2.21,12.6,6.2,Very Poor (Highly reliant on junk food and caffeine),7 days,
19,Female,5.6,97,3.18,3.23,0.9,3.0,Average (Mix of healthy and unhealthy),3-4 days,ACM
20,Male,0.5,74,2.59,2.59,2.0,5.2,Very Poor (Highly reliant on junk food and caffeine),5-6 days,
19,Male,1.3,54,2.85,2.83,0.7,6.3,Average (Mix of healthy and unhealthy),7 days,
20,Male,0.9,60,3.4,3.45,2.7,8.3,"Good (Mostly balanced, some fast food/unhealthy snacks)",3-4 days,
19,Male,5.9,32,2.7,2.67,8.7,7.7,"Good (Mostly balanced, some fast food/unhealthy snacks)",7 days,LES
20,Male,0.9,84,2.76,2.85,4.0,5.6,Average (Mix of healthy and unhealthy),3-4 days,IEEE
20,Male,7.8,59,2.92,2.95,7.2,6.7,Average (Mix of healthy and unhealthy),0 days,
20,Female,7.6,59,3.16,3.18,9.4,7.1,"Good (Mostly balanced, some fast food/unhealthy snacks)",3-4 days,
19,Male,1.7,52,2.99,3.01,0.9,4.1,Average (Mix of healthy and unhealthy),7 days,
19,Female,3.5,74,3.35,3.27,1.0,6.8,"Good (Mostly balanced, some fast food/unhealthy snacks)",3-4 days,
20,Male,0.5,55,2.63,2.63,1.3,6.7,Average (Mix of healthy and unhealthy),3-4 days,IEEE
20,Male,7.4,85,3.48,3.54,9.6,7.1,Average (Mix of healthy and unhealthy),1-2 days,LES
20,Female,10.0,83,3.39,3.37,1.1,3.5,"Good (Mostly balanced, some fast food/unhealthy snacks)",3-4 days,IEEE
20,Male,1.1,45,2.76,2.75,0.6,7.1,"Good (Mostly balanced, some fast food/unhealthy snacks)",3-4 days,
20,Male,3.2,48,2.79,2.79,0.5,9.1,Very Poor (Highly reliant on junk food and caffeine),0 days,ACM
19,Male,2.1,50,2.81,2.75,1.0,7.5,"Good (Mostly balanced, some fast food/unhealthy snacks)",3-4 days,
22,Male,2.8,100,3.3,3.26,1.4,6.3,"Poor (Mostly processed foods, soft drinks, limited vegetables)",5-6 days,IEEE
19,Male,3.8,85,3.2,3.16,1.3,7.6,"Good (Mostly balanced, some fast food/unhealthy snacks)",1-2 days,AIAA
21,Male,1.4,68,2.52,2.53,0.7,6.7,"Poor (Mostly processed foods, soft drinks, limited vegetables)",3-4 days,LES
20,Male,1.4,90,2.82,3.04,3.8,5.0,"Poor (Mostly processed foods, soft drinks, limited vegetables)",1-2 days,AIAA
